outcome,text,appeal_district,trial_district,offence,sentence,no_complainant,no_male_complainant,no_female_complainant,no_appealant,no_male_appealant,no_female_appealant,no_public_witness,no_eye_witness,no_defense_witness,outcome
Dismissed,appeal_district: Missing | trial_district: South-West | offence: Libel | sentence: Prison_term | no_complainant: 0 | no_male_complainant: 0 | no_female_complainant: 0 | no_appealant: 1 | no_male_appealant: 1 | no_female_appealant: 0 | no_public_witness: 0 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Dismissed,Missing,South-West,Libel,Prison_term,0,0,0,1,1,0,0,0,0,Dismissed
Dismissed,appeal_district: Missing | trial_district: FCT | offence: Unlawful_possession | sentence: Prison_term | no_complainant: 0 | no_male_complainant: 0 | no_female_complainant: 0 | no_appealant: 1 | no_male_appealant: 1 | no_female_appealant: 0 | no_public_witness: 0 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Dismissed,Missing,FCT,Unlawful_possession,Prison_term,0,0,0,1,1,0,0,0,0,Dismissed
Dismissed,appeal_district: North-West | trial_district: Missing | offence: Unlawful_termination_appointment | sentence: Missing | no_complainant: 0 | no_male_complainant: 0 | no_female_complainant: 0 | no_appealant: 1 | no_male_appealant: 1 | no_female_appealant: 0 | no_public_witness: 0 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Dismissed,North-West,Missing,Unlawful_termination_appointment,Missing,0,0,0,1,1,0,0,0,0,Dismissed
Dismissed,appeal_district: FCT | trial_district: North-Central | offence: Armed_robbery | sentence: Prison_term_fine | no_complainant: 0 | no_male_complainant: 0 | no_female_complainant: 0 | no_appealant: 1 | no_male_appealant: 1 | no_female_appealant: 0 | no_public_witness: 0 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Dismissed,FCT,North-Central,Armed_robbery,Prison_term_fine,0,0,0,1,1,0,0,0,0,Dismissed
Dismissed,appeal_district: North-Central | trial_district: Missing | offence: Conspiracy | sentence: Prison_term | no_complainant: 0 | no_male_complainant: 0 | no_female_complainant: 0 | no_appealant: 1 | no_male_appealant: 1 | no_female_appealant: 0 | no_public_witness: 0 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Dismissed,North-Central,Missing,Conspiracy,Prison_term,0,0,0,1,1,0,0,0,0,Dismissed
Dismissed,appeal_district: Missing | trial_district: Missing | offence: Others | sentence: Missing | no_complainant: 0 | no_male_complainant: 0 | no_female_complainant: 0 | no_appealant: 1 | no_male_appealant: 1 | no_female_appealant: 0 | no_public_witness: 1 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Dismissed,Missing,Missing,Others,Missing,0,0,0,1,1,0,1,0,0,Dismissed
Dismissed,appeal_district: Missing | trial_district: Missing | offence: Others | sentence: Missing | no_complainant: 0 | no_male_complainant: 0 | no_female_complainant: 0 | no_appealant: 1 | no_male_appealant: 1 | no_female_appealant: 0 | no_public_witness: 0 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Dismissed,Missing,Missing,Others,Missing,0,0,0,1,1,0,0,0,0,Dismissed
Dismissed,appeal_district: South-West | trial_district: Missing | offence: Armed_robbery | sentence: Prison_term | no_complainant: 0 | no_male_complainant: 0 | no_female_complainant: 0 | no_appealant: 1 | no_male_appealant: 1 | no_female_appealant: 0 | no_public_witness: 0 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Dismissed,South-West,Missing,Armed_robbery,Prison_term,0,0,0,1,1,0,0,0,0,Dismissed
Dismissed,appeal_district: FCT | trial_district: Missing | offence: Missing | sentence: Payment_damages | no_complainant: 0 | no_male_complainant: 0 | no_female_complainant: 0 | no_appealant: 1 | no_male_appealant: 1 | no_female_appealant: 0 | no_public_witness: 0 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Dismissed,FCT,Missing,Missing,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
Dismissed,appeal_district: South-West | trial_district: North-Central | offence: Libel | sentence: Payment_damages | no_complainant: 0 | no_male_complainant: 0 | no_female_complainant: 0 | no_appealant: 1 | no_male_appealant: 1 | no_female_appealant: 0 | no_public_witness: 0 | no_eye_witness: 0 | no_defense_witness: 0 | outcome: Dismissed,South-West,North-Central,Libel,Payment_damages,0,0,0,1,1,0,0,0,0,Dismissed
